period,metric,value,status
2025-01,headcount,32,locked
2025-01,new_customers,30,locked
2025-02,headcount,33,locked
2025-02,new_customers,32,locked
2025-03,headcount,33,locked
2025-03,new_customers,38,locked
2025-04,headcount,34,locked
2025-04,new_customers,40,locked
2025-05,headcount,35,locked
2025-05,new_customers,45,locked
2025-06,headcount,36,locked
2025-06,new_customers,42,locked
2025-07,headcount,36,locked
2025-07,new_customers,35,locked
2025-08,headcount,37,locked
2025-08,new_customers,33,locked
2025-09,headcount,38,locked
2025-09,new_customers,44,locked
2025-10,headcount,39,locked
2025-10,new_customers,50,locked
2025-11,headcount,40,locked
2025-11,new_customers,58,locked
2025-12,headcount,40,locked
2025-12,new_customers,48,locked
2026-01,headcount,40,locked
2026-01,new_customers,40,locked
2026-02,headcount,41,locked
2026-02,new_customers,42,locked
2026-03,headcount,41,locked
2026-03,new_customers,48,locked
2026-04,headcount,41,locked
2026-04,new_customers,52,locked
2026-05,headcount,42,locked
2026-05,new_customers,58,locked
2026-06,headcount,42,locked
2026-06,new_customers,54,locked
